band_hz,feature_dim,cv_mean_accuracy,test_accuracy,best_params_json
1.0,8000,0.9257142857142856,0.96,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
2.0,4000,0.9257142857142856,0.96,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
3.0,2667,0.9257142857142856,0.96,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
4.0,2000,0.9257142857142856,0.96,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
5.0,1600,0.9257142857142856,0.96,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
8.0,1000,0.9257142857142856,0.9733333333333334,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
10.0,800,0.9314285714285715,0.9733333333333334,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
15.0,534,0.9371428571428572,0.9866666666666667,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
20.0,400,0.9314285714285715,0.9866666666666667,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
25.0,320,0.9257142857142856,0.9866666666666667,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
30.0,267,0.9314285714285713,0.9733333333333334,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
35.0,229,0.9314285714285713,0.9733333333333334,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
40.0,200,0.9314285714285713,0.9866666666666667,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
45.0,178,0.9257142857142856,0.96,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
50.0,160,0.9257142857142856,0.9866666666666667,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
55.0,146,0.9314285714285713,0.9733333333333334,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
60.0,134,0.9314285714285713,0.9733333333333334,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
65.0,124,0.9314285714285713,0.96,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
70.0,115,0.9257142857142856,0.9733333333333334,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
75.0,107,0.9314285714285713,0.9733333333333334,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
80.0,100,0.937142857142857,0.9733333333333334,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
85.0,95,0.9257142857142856,0.96,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
90.0,89,0.937142857142857,0.9733333333333334,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
95.0,85,0.9257142857142856,0.9733333333333334,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
100.0,80,0.9314285714285713,0.9733333333333334,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
200.0,40,0.8971428571428571,0.9466666666666667,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
300.0,27,0.8971428571428571,0.96,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
400.0,20,0.8514285714285714,0.88,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
500.0,16,0.8057142857142858,0.84,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
600.0,14,0.7714285714285715,0.8266666666666667,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
700.0,12,0.72,0.7466666666666667,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
800.0,10,0.7428571428571429,0.7466666666666667,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
900.0,9,0.6799999999999999,0.7066666666666667,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
1000.0,8,0.7542857142857144,0.72,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
